path,frame_count,uniform_frames,key_frames
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e11_seg02_clip_08,299,99,57
data/MVBench/video/tvqa/frames_fps3_hq/s08e20_seg02_clip_10,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e19_seg02_clip_02,176,58,31
data/MVBench/video/tvqa/frames_fps3_hq/friends_s08e22_seg02_clip_08,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/s01e17_seg02_clip_07,185,61,32
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e02_seg02_clip_08,275,91,49
data/MVBench/video/tvqa/frames_fps3_hq/house_s05e21_seg02_clip_10,269,89,47
data/MVBench/video/tvqa/frames_fps3_hq/castle_s02e11_seg02_clip_03,263,87,50
data/MVBench/video/tvqa/frames_fps3_hq/castle_s04e16_seg02_clip_01,329,109,70
data/MVBench/video/tvqa/frames_fps3_hq/s01e09_seg01_clip_00,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/s01e13_seg02_clip_01,182,60,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e03_seg02_clip_19,203,67,36
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e02_seg02_clip_03,182,60,31
data/MVBench/video/tvqa/frames_fps3_hq/house_s02e01_seg02_clip_14,296,98,53
data/MVBench/video/tvqa/frames_fps3_hq/castle_s03e20_seg02_clip_24,272,90,50
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e02_seg02_clip_12,188,62,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e15-16_seg02_clip_36,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e02_seg02_clip_01,194,64,36
data/MVBench/video/tvqa/frames_fps3_hq/castle_s08e11_seg02_clip_20,275,91,50
data/MVBench/video/tvqa/frames_fps3_hq/grey_s02e25_seg02_clip_11,272,90,47
data/MVBench/video/tvqa/frames_fps3_hq/house_s02e14_seg02_clip_02,272,90,48
data/MVBench/video/tvqa/frames_fps3_hq/s08e05_seg01_clip_01,248,82,44
data/MVBench/video/tvqa/frames_fps3_hq/castle_s01e03_seg02_clip_03,260,86,47
data/MVBench/video/tvqa/frames_fps3_hq/met_s06e15_seg02_clip_15,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/s03e12_seg01_clip_00,368,122,66
data/MVBench/video/tvqa/frames_fps3_hq/friends_s10e01_seg02_clip_02,191,63,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e15_seg02_clip_08,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/house_s01e01_seg02_clip_05,188,62,36
data/MVBench/video/tvqa/frames_fps3_hq/s07e11_seg01_clip_00,263,87,46
data/MVBench/video/tvqa/frames_fps3_hq/s03e11_seg02_clip_15,185,61,32
data/MVBench/video/tvqa/frames_fps3_hq/house_s02e08_seg02_clip_09,275,91,52
data/MVBench/video/tvqa/frames_fps3_hq/house_s04e05_seg02_clip_20,272,90,48
data/MVBench/video/tvqa/frames_fps3_hq/house_s01e21_seg02_clip_19,233,77,44
data/MVBench/video/tvqa/frames_fps3_hq/house_s08e20_seg02_clip_05,266,88,48
data/MVBench/video/tvqa/frames_fps3_hq/met_s03e15_seg02_clip_07,188,62,35
data/MVBench/video/tvqa/frames_fps3_hq/s01e14_seg02_clip_09,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/s08e22_seg02_clip_06,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/castle_s04e22_seg02_clip_25,278,92,49
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e16_seg02_clip_07,155,51,30
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e01_seg02_clip_18,176,58,31
data/MVBench/video/tvqa/frames_fps3_hq/grey_s03e09_seg02_clip_30,365,121,62
data/MVBench/video/tvqa/frames_fps3_hq/met_s04e03_seg02_clip_14,218,72,40
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e04_seg02_clip_05,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/grey_s03e23_seg02_clip_06,266,88,48
data/MVBench/video/tvqa/frames_fps3_hq/castle_s07e04_seg02_clip_14,269,89,50
data/MVBench/video/tvqa/frames_fps3_hq/friends_s10e04_seg02_clip_01,194,64,33
data/MVBench/video/tvqa/frames_fps3_hq/s01e10_seg02_clip_14,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s09e08_seg02_clip_01,194,64,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e12_seg02_clip_14,185,61,32
data/MVBench/video/tvqa/frames_fps3_hq/house_s08e12_seg02_clip_25,461,153,82
data/MVBench/video/tvqa/frames_fps3_hq/s02e19_seg02_clip_11,179,59,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s08e20_seg02_clip_03,182,60,31
data/MVBench/video/tvqa/frames_fps3_hq/s01e09_seg02_clip_08,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/s06e08_seg02_clip_01,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e16_seg01_clip_00,200,66,36
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e01_seg02_clip_19,248,82,42
data/MVBench/video/tvqa/frames_fps3_hq/met_s04e03_seg02_clip_12,176,58,32
data/MVBench/video/tvqa/frames_fps3_hq/house_s02e23_seg02_clip_02,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/house_s07e23_seg02_clip_11,269,89,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s10e04_seg02_clip_07,170,56,30
data/MVBench/video/tvqa/frames_fps3_hq/friends_s09e05_seg02_clip_14,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/castle_s05e03_seg02_clip_19,293,97,53
data/MVBench/video/tvqa/frames_fps3_hq/house_s07e18_seg02_clip_07,275,91,48
